antecedents,consequents,support,lift,confidence
(by,tell,me,you,said),(will),0.012658,13.166667,1.000000
 (by,will,tell,me),(you,said),0.012658,42.660000,0.900000
 (by,will,tell,said),(you,me),0.012658,44.437500,1.000000
(by,will,you,said),(tell,me),0.012658,42.660000,0.900000
(by,tell,me,you),(will,said),0.012658,35.550000,0.900000
 (by,tell,me,said),(will,you),0.012658,19.390909,0.900000
(by,tell,you,said),(will,me),0.012658,41.823529,1.000000
(by,me,you,said),(will,tell),0.012658,23.700000,0.900000
(by,will,tell,me,you),(said),0.012658,17.775000,0.900000
 (by,will,tell,me,said),(you),0.012658,12.258621,1.000000
(by,will,tell,you,said),(me),0.012658,22.218750,1.000000
(by,will,me,you,said),(tell),0.012658,20.641935,0.900000
(by,tell,me,you,said),(will),0.012658,14.220000,1.000000
 (tell,by,said),(will,you,me),0.012658,42.660000,0.900000
 (by,will,me,tell),(you,said),0.012658,42.660000,0.900000
 (by,will,said,tell),(you,me),0.012658,47.400000,1.000000
(by,will,you,said),(tell,me),0.012658,42.660000,0.900000
(by,tell,you,me),(will,said),0.012658,35.550000,0.900000
 (by,tell,me,said),(will,you),0.012658,19.996875,0.900000
(by,tell,you,said),(will,me),0.012658,47.400000,1.000000
(by,you,me,said),(will,tell),0.012658,23.700000,0.900000
 (by,tell,said),(will,you,me),0.012658,45.707143,0.900000
(tell,which),(will),0.018284,13.166667,1.000000
(tell,which),(you),0.018284,11.850000,1.000000
(will,tell,which),(you),0.018284,11.850000,1.000000
 (tell,you,which),(will),0.018284,13.166667,1.000000
(tell,which),(will,you),0.018284,21.545455,1.000000
(tell,which),(you),0.018284,11.850000,1.000000
(tell,which),(you),0.018284,12.258621,1.000000
(tell,which),(will),0.018284,13.166667,1.000000
(tell,which),(will),0.018284,14.220000,1.000000
(will,which,tell),(you),0.018284,11.850000,1.000000
 (tell,you,which),(will),0.018284,13.166667,1.000000
(tell,which),(will,you),0.018284,21.545455,1.000000
(will,tell,which),(you),0.018284,12.258621,1.000000
 (tell,you,which),(will),0.018284,14.220000,1.000000
(tell,which),(will,you),0.018284,22.218750,1.000000
(tell,which,said),(you),0.012658,11.850000,1.000000
 (you,which,said),(tell),0.012658,20.641935,0.900000
(tell,which,said),(will),0.012658,13.166667,1.000000
(tell,which,said),(you),0.012658,11.850000,1.000000
 (you,which,said),(tell),0.012658,20.641935,0.900000
(tell,which,said),(you),0.012658,12.258621,1.000000
 (you,which,said),(tell),0.012658,20.641935,0.900000
(tell,which,said),(will),0.012658,13.166667,1.000000
(tell,which,said),(will),0.012658,14.220000,1.000000
(will,tell,which,said),(you),0.012658,11.850000,1.000000
 (will,you,which,said),(tell),0.012658,20.641935,0.900000
 (tell,you,which,said),(will),0.012658,13.166667,1.000000
(tell,which,said),(will,you),0.012658,21.545455,1.000000
 (you,which,said),(will,tell),0.012658,23.700000,0.900000
(which,will,tell,said),(you),0.012658,11.850000,1.000000
 (which,will,you,said),(tell),0.012658,20.641935,0.900000
 (which,tell,you,said),(will),0.012658,13.166667,1.000000
(tell,which,said),(will,you),0.012658,21.545455,1.000000
 (you,which,said),(will,tell),0.012658,23.700000,0.900000
(will,tell,which,said),(you),0.012658,12.258621,1.000000
 (will,you,which,said),(tell),0.012658,20.641935,0.900000
 (tell,you,which,said),(will),0.012658,14.220000,1.000000
(tell,which,said),(will,you),0.012658,22.218750,1.000000
 (you,which,said),(will,tell),0.012658,23.700000,0.900000
(by,tell,which),(you),0.011252,11.850000,1.000000
(by,tell,which),(will),0.011252,13.166667,1.000000
(tell,by,which),(you),0.011252,11.850000,1.000000
(by,tell,which),(you),0.011252,12.258621,1.000000
(tell,by,which),(will),0.011252,13.166667,1.000000
(by,tell,which),(will),0.011252,14.220000,1.000000
(by,will,which,tell),(you),0.011252,11.850000,1.000000
 (by,tell,you,which),(will),0.011252,13.166667,1.000000
(by,tell,which),(will,you),0.011252,21.545455,1.000000
(which,by,will,tell),(you),0.011252,11.850000,1.000000
 (which,by,tell,you),(will),0.011252,13.166667,1.000000
(tell,by,which),(will,you),0.011252,21.545455,1.000000
(by,will,which,tell),(you),0.011252,12.258621,1.000000
 (by,tell,you,which),(will),0.011252,14.220000,1.000000
(by,tell,which),(will,you),0.011252,22.218750,1.000000
(tell,which,me),(said),0.011252,18.710526,1.000000
(tell,which,me),(you),0.011252,11.850000,1.000000
(tell,which,me),(will),0.011252,13.166667,1.000000
(tell,which,me),(said),0.011252,18.710526,1.000000
(tell,which,me),(said),0.011252,19.750000,1.000000
 (tell,you,which,me),(said),0.011252,18.710526,1.000000
(tell,which,me,said),(you),0.011252,11.850000,1.000000
(tell,which,me),(you,said),0.011252,47.400000,1.000000
(will,tell,which,me),(said),0.011252,18.710526,1.000000
(tell,which,me,said),(will),0.011252,13.166667,1.000000
(tell,which,me),(will,said),0.011252,39.500000,1.000000
(tell,which,me),(you),0.011252,11.850000,1.000000
(tell,which,me),(you),0.011252,12.258621,1.000000
(tell,which,me),(will),0.011252,13.166667,1.000000
(tell,which,me),(will),0.011252,14.220000,1.000000
(will,tell,which,me),(you),0.011252,11.850000,1.000000
 (tell,you,which,me),(will),0.011252,13.166667,1.000000
